Site,Binomial,ID,Ndaphnia,Sex,Collector,Climate,Date,X240m,nbut,weight,death.p,Lum_Mean.hd,Lum_StdDev.hd,Sat_Mean.hd,Sat_StdDev.hd,Lum_Mean.fd,Lum_StdDev.fd,Sat_Mean.fd,Sat_StdDev.fd,Lum_Mean.hv,Lum_StdDev.hv,Sat_Mean.hv,Sat_StdDev.hv,Lum_Mean.fv,Lum_StdDev.fv,Sat_Mean.fv,Sat_StdDev.fv
LSP,Zizina otis,1125,10,Female,SS,Subtropical,23/09/2022,5,1,0.004,0.5,0.11498,0.0389,6.04536,3.01102,0.12642,0.02706,6.2905,2.44166,0.20382,0.04702,7.50062,1.79232,0.21214,0.04086,6.99682,1.8858
LSP,Zizina otis,1199,10,Female,MFE,Subtropical,23/09/2022,1,1,0.005,0.1,0.11498,0.0389,6.04536,3.01102,0.12642,0.02706,6.2905,2.44166,0.20382,0.04702,7.50062,1.79232,0.21214,0.04086,6.99682,1.8858
MR,Zizina otis,mr4,10,Male,NA,Tropical,19/07/2022,4,2,0.005,0.4,0.10165,0.0342,7.443275,4.6791,0.10115,0.0231,6.930875,3.656375,0.201925,0.0496,6.5286,1.8501,0.208375,0.045875,5.9029,2.07825
MR,Zizina otis,399,10,Male,LH,Tropical,19/07/2022,7,1,0.006,0.7,0.10165,0.0342,7.443275,4.6791,0.10115,0.0231,6.930875,3.656375,0.201925,0.0496,6.5286,1.8501,0.208375,0.045875,5.9029,2.07825
MR,Zizina otis,2419,10,Female,LO,Tropical,2/07/2023,8,1,0.006,0.8,0.096566667,0.034433333,4.887933333,3.1187,0.102366667,0.024733333,4.580733333,2.209866667,0.1764,0.042366667,6.225533333,1.948066667,0.194333333,0.037033333,5.951166667,2.0384
MR,Zizina otis,mr3,10,Male,NA,Tropical,2/07/2023,6,2,0.004,0.6,0.10165,0.0342,7.443275,4.6791,0.10115,0.0231,6.930875,3.656375,0.201925,0.0496,6.5286,1.8501,0.208375,0.045875,5.9029,2.07825
MR,Zizina otis,586,10,Male,SS,Tropical,19/07/2022,7,1,0.004,0.7,0.10165,0.0342,7.443275,4.6791,0.10115,0.0231,6.930875,3.656375,0.201925,0.0496,6.5286,1.8501,0.208375,0.045875,5.9029,2.07825
MR,Zizina otis,2552,10,Male,MFE,Tropical,2/07/2023,3,1,0.004,0.3,0.10165,0.0342,7.443275,4.6791,0.10115,0.0231,6.930875,3.656375,0.201925,0.0496,6.5286,1.8501,0.208375,0.045875,5.9029,2.07825
MR,Zizina otis,mr2,10,Male,NA,Tropical,NA,6,2,0.006,0.6,0.10165,0.0342,7.443275,4.6791,0.10115,0.0231,6.930875,3.656375,0.201925,0.0496,6.5286,1.8501,0.208375,0.045875,5.9029,2.07825
MR,Zizina otis,mr1,10,Male,NA,Tropical,2/07/2023,1,2,0.007,0.1,0.10165,0.0342,7.443275,4.6791,0.10115,0.0231,6.930875,3.656375,0.201925,0.0496,6.5286,1.8501,0.208375,0.045875,5.9029,2.07825
OC,Zizina otis,2978,10,Male,MFE,Subtropical,1/11/2023,0,1,0.004,0,0.11138,0.03548,7.85172,4.04216,0.10816,0.02684,7.62806,3.06846,0.20584,0.0476,6.68378,1.96438,0.1968,0.04024,6.4722,2.09964
OC,Zizina otis,2999,10,Female,ZW,Subtropical,1/11/2023,5,1,0.009,0.5,0.11014,0.03692,5.42114,2.84098,0.12406,0.02902,5.92186,2.33282,0.18128,0.04362,7.079,1.87204,0.21322,0.04152,6.75328,1.83216
OC,Zizina otis,939,10,Female,CI,Subtropical,21/09/2022,9,1,0.004,0.9,0.11014,0.03692,5.42114,2.84098,0.12406,0.02902,5.92186,2.33282,0.18128,0.04362,7.079,1.87204,0.21322,0.04152,6.75328,1.83216
OC,Zizina otis,ZO9,10,Male,ZW,Subtropical,1/11/2023,6,2,0.006,0.6,0.11138,0.03548,7.85172,4.04216,0.10816,0.02684,7.62806,3.06846,0.20584,0.0476,6.68378,1.96438,0.1968,0.04024,6.4722,2.09964
OC,Zizina otis,860,10,Male,MFE,Subtropical,21/09/2022,2,1,0.005,0.2,0.11138,0.03548,7.85172,4.04216,0.10816,0.02684,7.62806,3.06846,0.20584,0.0476,6.68378,1.96438,0.1968,0.04024,6.4722,2.09964
PP,Zizina otis,4135,10,Female,LO,Temperate,13/11/2023,0,1,0.006,0,0.120725,0.040975,6.2963,4.0865,0.12465,0.030375,6.24345,3.074575,0.2609,0.0623,7.155475,1.752325,0.24175,0.05005,6.6244,1.8776
PP,Zizina otis,4136,10,Female,LO,Temperate,13/11/2023,0,1,0.005,0,0.120725,0.040975,6.2963,4.0865,0.12465,0.030375,6.24345,3.074575,0.2609,0.0623,7.155475,1.752325,0.24175,0.05005,6.6244,1.8776
PP,Zizina otis,4137,10,Female,LO,Temperate,13/11/2023,5,1,0.004,0.5,0.120725,0.040975,6.2963,4.0865,0.12465,0.030375,6.24345,3.074575,0.2609,0.0623,7.155475,1.752325,0.24175,0.05005,6.6244,1.8776
PP,Zizina otis,4140,10,Female,LO,Temperate,13/11/2023,7,1,0.005,0.7,0.120725,0.040975,6.2963,4.0865,0.12465,0.030375,6.24345,3.074575,0.2609,0.0623,7.155475,1.752325,0.24175,0.05005,6.6244,1.8776
PP,Zizina otis,4141,10,Female,LO,Temperate,13/11/2023,2,1,0.006,0.2,0.120725,0.040975,6.2963,4.0865,0.12465,0.030375,6.24345,3.074575,0.2609,0.0623,7.155475,1.752325,0.24175,0.05005,6.6244,1.8776
PP,Zizina otis,4144,10,Female,LO,Temperate,13/11/2023,2,1,0.004,0.2,0.120725,0.040975,6.2963,4.0865,0.12465,0.030375,6.24345,3.074575,0.2609,0.0623,7.155475,1.752325,0.24175,0.05005,6.6244,1.8776
WLR,Zizina otis,3750,10,Male,MEH,Temperate,12/11/2023,3,1,0.004,0.3,0.0956,0.029966667,8.317366667,5.5132,0.096266667,0.024133333,8.425666667,4.389866667,0.173666667,0.044366667,5.590966667,1.716366667,0.185266667,0.040066667,5.3654,1.9289
WLR,Zizina otis,3739,10,Female,MEH,Temperate,12/11/2023,5,1,0.007,0.5,0.10894,0.0381,5.22586,2.7272,0.11022,0.02518,5.79544,2.09996,0.18476,0.03902,6.90758,1.62826,0.21452,0.0419,6.60884,1.66622
WLR,Zizina otis,3898,10,Female,MFE,Temperate,12/11/2023,0,1,0.0087,0,0.10894,0.0381,5.22586,2.7272,0.11022,0.02518,5.79544,2.09996,0.18476,0.03902,6.90758,1.62826,0.21452,0.0419,6.60884,1.66622
WLR,Zizina otis,3904,10,Male,MFE,Temperate,12/11/2023,1,1,0.006,0.1,0.0956,0.029966667,8.317366667,5.5132,0.096266667,0.024133333,8.425666667,4.389866667,0.173666667,0.044366667,5.590966667,1.716366667,0.185266667,0.040066667,5.3654,1.9289
WLR,Zizina otis,3905,10,Female,MFE,Temperate,12/11/2023,3,1,0.006,0.3,0.10894,0.0381,5.22586,2.7272,0.11022,0.02518,5.79544,2.09996,0.18476,0.03902,6.90758,1.62826,0.21452,0.0419,6.60884,1.66622
NA,Zizina otis,ZO8,10,Male,NA,NA,NA,6,2,0.006,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Zizina otis,zof1,10,Female,NA,NA,NA,3,2,0.00816,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Zizina otis,ZOM3,10,Male,NA,Temperate,NA,2,2,0.008,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Zizina otis,PC1,10,Female,NA,Temperate,NA,9,2,0.008,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
